title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Hochherrschaftliche Neubau-Stadtvilla mit Tiefgarage und Einliegerwohnung in Berlin-Wannsee,2.100.000 €,"Nikolassee, 14129 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,"364,62 m²",1.237 m²,5.759 €/m²,Villa,"364,72 m²",bezugsfrei nach Verkauf,6,4,6 Tiefgaragen-Stellplätze,"3,57 % inkl. gesetzlicher MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Hochherrschaftliche Neubau-Stadtvilla mit Tiefgarage und Einliegerwohnung in Berlin-Wannsee,2.100.000 €,"Zehlendorf, 14163 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,"364,62 m²",1.237 m²,5.759 €/m²,Villa,"364,72 m²",bezugsfrei nach Verkauf,6,4,6 Tiefgaragen-Stellplätze,"3,57 % inkl. gesetzlicher MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Share Deal für professionelle Anleger! Wohn- u. Gewerbeimmobilie in Top-Lage von Berlin-Tegel,2.500.000 €,"Tegel, 13507 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",15,"127,45 m²",939 m²,19.616 €/m²,Villa,"574,22 m²",nil,nil,nil,2 Stellplätze,"7,14 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Gestalten Sie Ihr Leben neu! Einfamilienhaus mit Mehrfamilienhaus auf einem GrSt in Heiligensee,2.500.000 €,"Heiligensee, 13503 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",17,"380,5 m²",1.073 m²,6.570 €/m²,Mehrfamilienhaus,nil,nil,7,4,1 Carport,"3,57 % inklusive der gesetzlichen Mehrwertsteuer",{'is24qa-keller-label': ''}
Anlageobjekt in zentraler Lage mit unmittelbarer Nähe zum Freizeitpark Marienfelde,2.495.000 €,"Lichtenrade, 12309 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",40,980 m²,1.200 m²,2.546 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"2,975 % inkl. MwSt.",{'is24qa-vermietet-label': ''}
-Mehrfamilienhaus im Wrangelkiez -,4.650.000 €,"Kreuzberg, 10965 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",25,760 m²,460 m²,6.118 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"ELEGANTES EINFAMILIENHAUS MIT GROßEN GARTEN, SPA-BEREICH SOWIE INNEN- UND AUßENPOOL",3.785.000 €,"Dahlem, 14195 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"234,16 m²",1.800 m²,16.164 €/m²,Bungalow,"176,7 m²",ab sofort,3,4,1 Garage,"3,57% inkl. gesetzlicher MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Haus mit Einliegerwohnung in Mahlsdorf Süd,799.000 €,"Mahlsdorf, 12623 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,168 m²,833 m²,4.756 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,2,nil,"3,57% inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-einliegerwohnung-label': ''}"
Rarität: Einfamilienhaus mit großem Einzelgrundstück in Mahlsdorf-Süd,600.000 €,"Mahlsdorf, 12623 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,129 m²,1.087 m²,4.651 €/m²,Einfamilienhaus (freistehend),nil,nil,1,2,2 Garagen,"3,57% inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Townhouse in Bestlage,3.850.000 €,"Schmargendorf, 14193 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,250 m²,700 m²,15.400 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,Außenstellplatz,"zzgl. 3,57% Käuferprovision (inkl. gesetzlicher MwSt.)","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
