title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Äußerst attraktive Altbauwohnung direkt am Bürgerpark,550.000 €,"Bürgerpark, 28209 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5","130,85 m²",4.203 €/m²,Etagenwohnung,nil,nil,2,1,nil,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
Renovierungsbedürftige Maisonettewohnung-Wohnung im Dachgeschoss,74.900 €,"Bernhard-Krause-Straße 5,
Lehe, 27580 Bremerhaven",2,87 m²,861 €/m²,nil,nil,nil,nil,nil,nil,"3% zzgl. ges. MwSt. (z.Zt. 3,57)",{'is24qa-keller-label': ''}
"Außergewöhnliche "" Maisonette - Wohnung "" in Bremen Alt - Borgfeld",617.000 €,"Katrepeler Landstr. 70,
Borgfeld, 28357 Bremen",4,142 m²,4.345 €/m²,Maisonette,nil,01.08.2024,2,2,2 Außenstellplätze,"3,57 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Exklusives Penthouse zwischen Yachthafen und Weser,760.000 €,"Mitte, 27568 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,150 m²,5.067 €/m²,Etagenwohnung,nil,nach Vereinbarung,nil,nil,2 Stellplätze,"3,57% des Kaufpreises","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Besondere "" Maisonette - Wohnung "" in Bremen Alt - Borgfeld mit Deichblick",644.000 €,"Katrepeler Landstr. 70,
Borgfeld, 28357 Bremen",4,153 m²,4.209 €/m²,Maisonette,nil,01.08.2024,2,2,2 Außenstellplätze,"3,57 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Bremen - Findorff | Schöne 3-Zimmer Wohnung mit Balkon und Pkw-Garagenstellplatz in Toplage!,259.000 €,"Weidedamm, 28215 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"91,59 m²",2.828 €/m²,Etagenwohnung,"19,34 m²",nil,nil,1,nil,"3,57 % inkl. 19 % MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Großzügige 4-Zimmer-Maisonettewohnung mit Tiefgarage,549.000 €,"Oberneuland, 28355 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,160 m²,3.431 €/m²,nil,9 m²,nach Vereinbarung,3,2,1 Tiefgaragen-Stellplatz,3.57 %,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Charmante 1-Zimmer Eigentumswohnung in begehrter Schwachhausen/Gete-Lage,145.000 €,"Gete, 28211 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,38 m²,3.816 €/m²,Hochparterre,5 m²,nach Vereinbarung,1,1,nil,"3,57 inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Helle 2 Zimmerwohnung in Schwachhausen, Käufer provisionsfrei.",170.000 €,"Gerhart-Hauptmann-Straße 9,
Neu-Schwachhausen, 28213 Bremen",2,"54,01 m²",3.148 €/m²,Etagenwohnung,nil,sofort,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Silvolle 4-Zimmer-Eigentumswohnung in klassischer Gründerzeitv...,430.000 €,"Oberneuland, 28355 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,116 m²,3.707 €/m²,nil,15 m²,Nach Absprache,2,1,2 Stellplätze,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
