title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Reserviert. Eigennutzer-Traum am Stadtrand,160.000 €,"Probstheida, 04289 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"68,56 m²",2.334 €/m²,Dachgeschoss,nil,sofort,nil,1,1 Tiefgaragen-Stellplatz,"4,165 % inklusive Mehrwertsteuer, fällig innerhalb 10 Tagen nach Kaufvertragsabschluss.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
++ BEZUGSFREI - 2 Balkone & Stellplatz: Offen geschnittene 2-Raum-Wohnung in grüner Wohnlage ++,165.000 €,"Seehausen, 04356 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"67,22 m²",2.455 €/m²,Erdgeschosswohnung,"74,45 m²",sofort,1,1,1 Stellplatz,"3,57 % inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
***Eigennutzer - Gohlis - Balkon - Altbau***,160.000 €,"Georg-Schumann-Straße 149,
Gohlis-Süd, 04155 Leipzig",2,"63,63 m²",2.515 €/m²,Etagenwohnung,nil,nil,1,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
DG-Maisonette-Wohnung in ruhiger Nebenstraße mit modernem Energiekonzept!,340.000 €,"Sellerhausen-Stünz, 04318 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"108,02 m²",3.148 €/m²,Etagenwohnung,"108,02 m²",nil,nil,2,nil,"12,138.00 EUR","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
*Ländliche Ruhe direkt an der Metropole Leipzig! Perfekter Süd-West-Balkon mit Fernblick über die Gä,89.500 €,"04451 Borsdorf, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,56 m²,1.598 €/m²,Etagenwohnung,nil,vermietet,1,1,1 Außenstellplatz,"3,57 % inkl. gesetzlicher Umsatzsteuer","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
TOLLE Kapitalanlage: 2-Zimmer-Wohnung in ruhiger Lage mit Blick ins Grüne und EBK!,89.500 €,"09376 Oelsnitz/Erzgebirge, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,54 m²,1.657 €/m²,Etagenwohnung,nil,nil,1,1,1 Außenstellplatz,"3,57% inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Vermietetes Dachgeschoss im Grünen nahe S-Bahnanschluss,89.000 €,"04838 Jesewitz, Nordsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,58 m²,1.534 €/m²,Etagenwohnung,nil,Kauf,nil,1,2 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"*Frisch renovierte 2-Raum-Altbau-Wohnung!* 2,85 Meter Raumhöhe l Wohnküche l Echtholztüren*",129.500 €,"Cotta (Stadtteil), 01157 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,43 m²,3.012 €/m²,Hochparterre,nil,vermietet,1,1,nil,"3,57 % inkl. gesetzlicher Umsatzsteuer","{'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Für EIGENNUTZER - 3 Zimmerwohnung in der Südvorstadt -Finanzierung ab 0,75 % möglich*",259.000 €,"Kantstraße 30,
Südvorstadt, 04275 Leipzig",3,79 m²,3.278 €/m²,Etagenwohnung,nil,sofort,nil,nil,1 Duplex-Stellplatz,"3,57% inkl. USt. Provisionsteilung hälftige Käufer- bzw. Verkäuferprovision von je 3,57 % inkl. USt.","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Exklusive Dachgeschosswohnung mit großer Dachterrasse,565.995 €,"09599 Freiberg, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"127,9 m²",4.425 €/m²,Dachgeschoss,nil,in 4 Monaten,3,1,1 Carport,Nein,"{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
