title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Provisionsfrei - Gangkofen! 1 Wohnung - 1000 Möglichkeiten (240418),199.000 €,"84140 Gangkofen, Rottal-Inn (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"127,34 m²",1.563 €/m²,Etagenwohnung,nil,Sofort,2,2,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"5,5 Zimmer auf 2 Ebenen - Wohnungspaket in München-Waldtrudering in kleinem Mehrfamilienhaus",790.000 €,"Waldtrudering, 81825 München
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,125 m²,6.320 €/m²,Etagenwohnung,nil,nil,nil,2,2 Stellplätze,"3,57 %",{}
Appartement in der Studentenstadt Pentling bei Regensburg - Für Kapitalanleger oder Eigennutzung!,95.000 €,"93080 Pentling, Regensburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,22 m²,4.318 €/m²,Erdgeschosswohnung,nil,nil,nil,1,nil,"3,57% des Kaufpreises inklusive 19% MwSt.",{'is24qa-balkon-terrasse-label': ''}
4-Zimmer Wohnung mit Südterrasse u. Gartenanteil in zwei Wohneinheiten,430.000 €,"85080 Gaimersheim, Eichstätt (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,100 m²,4.300 €/m²,Etagenwohnung,20 m²,nil,3,2,3 Außenstellplätze,"3,57 % incl. ges. MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
VIEL RAUM FÜR INSPIRATION: 5 Zimmer mit großem Garten,419.000 €,"86438 Kissing, Aichach-Friedberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"107,5 m²",3.898 €/m²,nil,nil,sofort,3,1,1 Garage,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
*** Schöne Etagenwohnung in Plattling für Eigennutzer oder Vermieter ***,199.000 €,"94447 Plattling, Deggendorf (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,83 m²,2.398 €/m²,Etagenwohnung,nil,nach Absprache,2,1,1 Garage,"Käuferprovision 3,57 % incl. 19 % MWSt.",{'is24qa-balkon-terrasse-label': ''}
"2-Zi-Wohnung mit Loggia, Lift und Stellplatz",199.000 €,"Wetzendorf, 90425 Nürnberg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"46,73 m²",4.259 €/m²,Etagenwohnung,nil,nil,1,1,1 Stellplatz,"3,57% inkl. 19% USt., verdient und fällig mit Unterzeichnunge des Kaufvertrages","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Wohlfühlgarantie - Modernes Hochparterre in ruhiger Nachbarschaft,269.000 €,"63814 Mainaschaff, Aschaffenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73 m²,3.685 €/m²,Hochparterre,nil,nil,2,1,2 Außenstellplätze,"3,57% inkl. gesetzl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Außergewöhnliche Erdgeschosswohnung in Röthenbach/Pegnitz,449.000 €,"90552 Röthenbach an der Pegnitz, Nürnberger Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,185 m²,2.427 €/m²,Erdgeschosswohnung,nil,nach Absprache,nil,nil,1 Garage,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Im Zentrum mit Panoramablick auf die Berge,540.000 €,"83043 Bad Aibling, Rosenheim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,79 m²,6.835 €/m²,Dachgeschoss,nil,nach Absprache,2,1,1 Außenstellplatz,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
