title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Importiert aus Monday / Herr Strassemeier,720.000 €,"Sasel, 22395 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",120 m²,447 m²,6.000 €/m²,Doppelhaushälfte,120 m²,nil,2,2,1 Stellplatz,"3,57%",{}
"Ein Handwerkertraum - Abriss oder Sanierung, Sie haben die Wahl!",475.000 €,"Jenfeld, 22043 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,175 m²,769 m²,2.714 €/m²,Einfamilienhaus (freistehend),nil,Nach Vereinbarung,nil,1,1 Garage,"2,975% inkl. MwSt.","{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Seltenheit in Ulm-Söflingen! Großes Einfamilienhaus auf 1.068 m² Grundstück,1.180.000 €,"Alsterdorf, 89081 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,153 m²,1.068 m²,7.712 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,4,1 Garage,3.57 %,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Wunderschönes Einfamilienhaus mit großem Bauerngarten,780.000 €,"Lemsahl-Mellingstedt, 22397 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5",164 m²,910 m²,4.756 €/m²,Einfamilienhaus (freistehend),237 m²,1.7.2024,3,2,3 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Hier können Ihre Kinder noch spielen,349.000 €,"Bramfeld, 22179 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,104 m²,500 m²,3.356 €/m²,Reihenmittelhaus,50 m²,nach Vereinbarung,2,2,nil,"3,57 % inkl. MwSt.",{}
Schönes Blankenese! Stilvolle Haushälfte mit Dachterrasse und Garten! Bezugsfertig!,1.780.000 €,"Blankenese, 22587 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,205 m²,368 m²,8.683 €/m²,Doppelhaushälfte,69 m²,sofort,4,2,1 Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Lieblingsplatz für Familie, Hobby und Homeoffice - energieeffizientes Neubau-Einfamilienhaus",985.000 €,"Bahrenfeld, 22607 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,200 m²,437 m²,4.925 €/m²,Einfamilienhaus (freistehend),90 m²,nil,nil,nil,nil,"3,99% inkl. ges. MwSt. bezogen auf den Grundstückskaufpreis",{}
Verkauf eines charmanten Zweifamilienhauses in ruhiger Wohnlage,366.000 €,"Neugraben-Fischbek, 21149 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5",160 m²,1.236 m²,2.288 €/m²,Mehrfamilienhaus,nil,nil,2,2,4 Außenstellplätze,"3,57 % Käuferprovision inkl. 19 % MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Mittelreihenhaus mit Ausbaupotential,159.000 €,"Langenbek, 21079 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5","58,5 m²",228 m²,2.718 €/m²,Reihenmittelhaus,nil,nil,nil,nil,nil,"3,57% des Kaufpreises",{'is24qa-online-besichtigung-moeglich-label': ''}
Schönes Mittelreihenhaus in beliebter Lage,305.000 €,"Langenbek, 21079 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,80 m²,200 m²,3.813 €/m²,Reihenmittelhaus,nil,nil,nil,nil,nil,"3,57% des Kaufpreises",{'is24qa-online-besichtigung-moeglich-label': ''}
Schönes Zweifamilienhaus mit Garten in ruhiger Lage von Hamburg-Hausbruch,569.000 €,"Neugraben-Fischbek, 21147 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140 m²,450 m²,4.064 €/m²,Mehrfamilienhaus,84 m²,Ab sofort,3,2,nil,"6,25","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
!!!COURTAGEFREI!!! Jugendstil-Villa mit großem Entwicklungspotential,575.000 €,"Scharbeutzer Straße 43,
Rahlstedt, 22147 Hamburg",8,"155,18 m²",556 m²,3.705 €/m²,Einfamilienhaus (freistehend),"336,09 m²",01.04.2024,6,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Einzigartiges Investment: Zweifamilienhaus im norddeutschen Stil nahe der Elbe,649.000 €,"Kirchwerder, 21037 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,230 m²,716 m²,2.822 €/m²,Mehrfamilienhaus,51 m²,nil,nil,2,1 Carport,"3,57 % inkl. Mwst.",{'is24qa-keller-label': ''}
Charmantes Einfamilienhaus im norddeutschen Stil nahe der Elbe,649.000 €,"Kirchwerder, 21037 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,230 m²,716 m²,2.822 €/m²,Einfamilienhaus (freistehend),51 m²,nil,nil,2,1 Carport,"3,57 % inkl. Mwst.",{'is24qa-keller-label': ''}
Traumhaus für eine junge Familie,1.950.000 €,"Groß Flottbek, 22607 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,160 m²,250 m²,12.188 €/m²,Einfamilienhaus (freistehend),46 m²,Nach Vereinbarung,4,2,1 Außenstellplatz,"3,57%",{'is24qa-keller-label': ''}
Grünes Wohnen: Sanierungsbedürftiges RMH mit eigenem Garten in Hamburg - Erbbaurecht,185.000 €,"Wandsbek (Ortsteil), 22049 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"76,08 m²","173,08 m²",2.432 €/m²,Reihenmittelhaus,40 m²,ab sofort,2,1,nil,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Schönes Einfamilienhaus auf tollem Südwest-Grundstück,1.370.000 €,"Rahlstedt, 22145 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,393 m²,1.365 m²,3.486 €/m²,Einfamilienhaus (freistehend),108 m²,nach Vereinbarung,4,3,Carport,"3,15 % inkl. gesetzl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Familien- Bungalow mit Gästehaus auf großem Grundstück in gesuchter Lage.,549.000 €,"Marienthal, 22043 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,135 m²,700 m²,4.067 €/m²,Bungalow,70 m²,Sofort,nil,1,1 Carport,"3,57% inkl. 19% MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-einliegerwohnung-label': ''}"
Altersgerechtes Wohnen in Hamburg!!,1.366.218 €,"Niendorf, 22455 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"161,51 m²",950 m²,8.459 €/m²,Bungalow,nil,nil,nil,nil,nil,nil,{}
Alle unter einem Dach! - Mehrgenerationenwohnen mit Bien - Zenker!,1.875.651 €,"Wilhelmsburg, 21109 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,207 m²,670 m²,9.061 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,nil,{}
Schönes Wohnen in Hamburg,1.360.751 €,"Niendorf, 22455 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"174,26 m²",950 m²,7.809 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,nil,nil,{}
Wohlfühloase ohne Treppe in ruhiger Lage genießen !,1.268.450 €,"Fuhlsbüttel, 22339 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,161 m²,600 m²,7.879 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,nil,nil,{}
