title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Leben an der historischen Stadtmauer Neuensteins. Nutzen Sie die hohen Abschreibungsmöglichkeiten!,190.000 €,"74632 Neuenstein, Hohenlohekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",13,280 m²,149 m²,679 €/m²,Einfamilienhaus (freistehend),nil,sofort,11,2,1 Außenstellplatz,"Die Courtage für den Käufer beträgt 3,57 % aus dem Kaufpreis inkl. der ges. MWSt. von derzeit 19 %.",{'is24qa-keller-label': ''}
Hier wohnen Sie mitten in Neuenstein !,225.000 €,"74632 Neuenstein, Hohenlohekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,115 m²,101 m²,1.957 €/m²,Einfamilienhaus (freistehend),nil,Juli 2024,2,1,1 Garage,"Die Courtage für den Käufer beträgt 3,57 % aus dem Kaufpreis inkl. der ges. MWSt. von derzeit 19 %.",{'is24qa-keller-label': ''}
GELEGENHEIT - DREIFAMILIENHAUS DIREKT BEI HOCHSCHULE IN AALEN,570.000 €,"Stadtmitte, 73430 Aalen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,188 m²,487 m²,3.032 €/m²,Mehrfamilienhaus,nil,sofort,4,3,2 Stellplätze,"2,38 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
PROVISIONSFREI ** EINFAMILIENHAUS IN SCHÖNER AUSSICHTSLAGE **,319.000 €,"89522 Heidenheim an der Brenz, Heidenheim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,149 m²,455 m²,2.141 €/m²,Einfamilienhaus (freistehend),nil,nil,4,2,2 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Modernes Stadthaus in der Barockstadt Schwetzingen,629.000 €,"68723 Schwetzingen, Rhein-Neckar-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,123 m²,88 m²,5.114 €/m²,Besondere Immobilie,nil,01.10.2024,2,2,Carport,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gemütliche Doppelhaushälfte mit Garten in ruhiger Lage,265.000 €,"88512 Mengen, Sigmaringen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,100 m²,325 m²,2.650 €/m²,Doppelhaushälfte,nil,ab sofort,3,1,2 Garagen,"3,00 % inkl. MwSt. inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Haus im Dornröschenschlaf: komplett sanierungsbedürftiges Haus mit Denkmalschutz,110.000 €,"77833 Ottersweier, Rastatt (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110 m²,283 m²,1.000 €/m²,Einfamilienhaus (freistehend),nil,sofort,3,2,nil,"3,57 % inkl. ges. MwSt.",{}
"großes, traumhaftes Grundstück mit sanierungsbedürftigem, ausbaufähigem 1 bis 2 FHS-sucht Liebhaber-",348.000 €,"75331 Engelsbrand, Enzkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,130 m²,1.514 m²,2.677 €/m²,nil,nil,nil,2,1,3 Garagen,"2,38%","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Einfamilienhaus mit Einliegerwohnung in begehrter Lage von Reutlingen,1.150.000 €,"Reutlingen, 72762 Reutlingen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,194 m²,1.448 m²,5.928 €/m²,Einfamilienhaus (freistehend),nil,nach Absprache,3,3,6 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
In gefragter Wohnlage: Großzügiges Einfamilienhaus mit Einliegerwohnung,439.000 €,"88630 Pfullendorf, Sigmaringen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"167,8 m²",1.406 m²,2.616 €/m²,Einfamilienhaus (freistehend),"18,78 m²",nil,nil,nil,3 Garagen,"3,57 % inkl. MwSt","{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Historischer Charme und Moderne vereint: Ihr Traumhof auf dem Land !,580.000 €,"73479 Ellwangen (Jagst), Ostalbkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5","154,4 m²",7.201 m²,3.756 €/m²,Bauernhaus,nil,01.08.2024,2,2,1 Garage,"3,57 % inkl. ges. MwSt.",{}
