title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Elbblick-Anwesen in 1A-Lage,Auf Anfrage,"Nienstedten, 22587 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,400 m²,2.000 m²,nil,Villa,nil,nil,nil,nil,nil,"3,57 %",{'is24qa-keller-label': ''}
6 Zimmer Haus * mit wundervollem Süd/West Grundstück,695.000 €,"Duvenstedt, 22397 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,150 m²,955 m²,4.633 €/m²,Einfamilienhaus (freistehend),nil,nach Vereinbarung,nil,1,1 Stellplatz,"22.000,00 inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Schmuckstück Doppelhaushälfte für die kleine Familie,449.000 €,"Bramfeld, 22175 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5",98 m²,210 m²,4.582 €/m²,Doppelhaushälfte,52 m²,nach Absprache,3,1,nil,"3,57 % inkl. MwSt.",{'is24qa-keller-label': ''}
Traumhaus in bester Lage von Niendorf - courtagefrei!,679.000 €,"Niendorf, 22455 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5","184,5 m²",603 m²,3.680 €/m²,Einfamilienhaus (freistehend),nil,nach Absprache,2,2,4 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Hamburg - Ottensen | Renditestarkes MFH mit großer Gewerbefläche und 5 Wohneinheiten mit ca. 780 m²,3.495.000 €,"Altona-Nord, 22765 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,780 m²,549 m²,4.481 €/m²,nil,386 m²,nil,nil,7,2 Außenstellplätze,"6,14 % inkl. gesetzlicher MwSt. (Käuferprovision)",{'is24qa-keller-label': ''}
Exklusive DHH in bevorzugter Lage Nähe Alster - Erstbezug!,1.050.000 €,"Op'n Möhlnrad 11,
Duvenstedt, 22397 Hamburg",5,"205,81 m²",958 m²,5.102 €/m²,Doppelhaushälfte,nil,nil,nil,nil,2 Carports,"3,57 %",{'is24qa-gaeste-wc-label': ''}
Doppelhaushälfte im dänischen Landhausstil,598.000 €,"Lemsahl-Mellingstedt, 22397 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,122 m²,527 m²,4.902 €/m²,Doppelhaushälfte,88 m²,01.03.2024,3,2,2 Carports,3%,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Schöne Blankeneser-Neubaustadthäuser im Björnsonweg!,1.480.000 €,"Björnsonweg 72,
Blankenese, 22587 Hamburg",6,"202,89 m²","58,54 m²",7.295 €/m²,Reihenmittelhaus,"70,8 m²",nach Vereinbarung,nil,nil,nil,Der Erwerb erfolgt für Käufer courtagefrei.,{'is24qa-gaeste-wc-label': ''}
Ruhig gelegen und dennoch zentral: Charmante DHH mit großem Süd-Grundstück,445.000 €,"Lohbrügge, 21031 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,85 m²,1.004 m²,5.235 €/m²,Doppelhaushälfte,nil,nil,3,1,Garage,"2,5% inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Das Haus für Individualisten!,1.200.000 €,"Rahlstedt, 22145 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,250 m²,1.096 m²,4.800 €/m²,Einfamilienhaus (freistehend),60 m²,nach Vereinbarung,4,3,1 Garage,"3,57%","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Modernes Endreihenhaus nahe des Eichtalparks,795.000 €,"Wandsbek (Ortsteil), 22041 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,102 m²,198 m²,7.794 €/m²,Reiheneckhaus,77 m²,nach Vereinbarung,nil,1,1 Carport,"3,57 % inkl. MwSt.",{}
Hier ist alles möglich! - Stadtvilla auf Erbbaurechtsgrundstück,400.000 €,"Eppendorf, 20251 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,250 m²,778 m²,1.600 €/m²,Einfamilienhaus (freistehend),nil,nach Vereinbarung,nil,nil,nil,€ 17.500,{'is24qa-keller-label': ''}
Ihr schönes neues Zuhause in Harburg 3-Zi. Reihenhaus,399.000 €,"Harburg (Ortsteil), 21079 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,81 m²,169 m²,4.926 €/m²,Reihenmittelhaus,nil,nil,nil,1,1 Stellplatz,"2,36 %",{}
Charmante Historie: Ehemalige Backstube mit lichtdurchflutetem Garten in HH-Groß Borstel,1.625.000 €,"Groß Borstel, 22453 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,195 m²,810 m²,8.333 €/m²,Villa,nil,nil,4,1,3 Außenstellplätze,"3,25% inkl. MwSt.",{'is24qa-gaeste-wc-label': ''}
Grundstück mit historischem Villenensemble in HH-Gross Borstel,2.515.000 €,"Groß Borstel, 22453 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",17,469 m²,810 m²,5.362 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"6,25% inkl. MwSt.",{}
