title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Aufgepasst! Vielseitiges Zweifamilienhaus in Altenbochum,399.000 €,"Altenbochum, 44803 Bochum
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","7,5",191 m²,821 m²,2.089 €/m²,Mehrfamilienhaus,nil,ab sofort,nil,2,3 Garagen,"3,98% inkl. der gesetzlichen MwSt.","{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
"KALDENKIRCHEN - Bungalow mit Garage, Einbauküche, Sauna, Whirlpool, Kaminkachelofen etc.",499.000 €,"41334 Nettetal, Viersen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"183,57 m²",909 m²,2.718 €/m²,Einfamilienhaus (freistehend),nil,kurzfristig,1,1,1 Garage,"3,57 % Maklerprovision, inkl. 19% Mehrwertsteuer","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Entdecken Sie Wohnvielfalt pur: Großzügiger Bungalow in Nienberge - Erbpachtgrundstück,395.000 €,"Nienberge, 48161 Münster
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,168 m²,518 m²,2.351 €/m²,Bungalow,46 m²,nil,nil,3,1 Garage,"3,57%","{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Familientraum am Aplerbecker Wald,565.000 €,"Sölde, 44289 Dortmund
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,195 m²,728 m²,2.897 €/m²,Mehrfamilienhaus,nil,nach Absprache,2,3,2 Garagen,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Gepflegte Doppelhaushälfte in Kreuztal-Ferndorf,225.000 €,"57223 Kreuztal, Siegen-Wittgenstein (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,109 m²,597 m²,2.064 €/m²,Doppelhaushälfte,nil,sofort,4,2,1 Garage,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Attraktives Investment mit Mietpotential!,980.000 €,"53721 Sankt Augustin, Rhein-Sieg-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,310 m²,465 m²,3.161 €/m²,Mehrfamilienhaus,nil,nach Vereinbarung!,7,4,nil,"3,57% inkl. der ges. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Zwei Generationen unter einem Dach: Wohnen im Rheder Norden,379.000 €,"46414 Rhede, Borken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,135 m²,1.128 m²,2.807 €/m²,Mehrfamilienhaus,nil,31.03.2024,nil,2,nil,"2,38 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
VR IMMO: Einfamilienhaus mit Garage,219.000 €,"58513 Lüdenscheid, Märkischer Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"144,85 m²",422 m²,1.512 €/m²,Einfamilienhaus (freistehend),nil,Nach Vereinbarung,3,2,1 Garage,"+3,57% Käuferprovision (inkl. MwSt.)",{'is24qa-keller-label': ''}
Doppelhaushälfte als Wohneigentum,289.000 €,"41366 Schwalmtal, Viersen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,125 m²,498 m²,2.312 €/m²,Doppelhaushälfte,nil,nach Vereinbarung,nil,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Doppelhaushälfte mit großem Grundstück in D-Stockum nahe Flughafen,820.000 €,"Stockum, 40468 Düsseldorf
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,160 m²,1.279 m²,5.125 €/m²,Doppelhaushälfte,nil,sofort,nil,1,2 Stellplätze,"3,57%",{}
