title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"Sanierte 2-Zimmer Wohnung in Trendlage nahe Viktoriapark mit Südbalkon, EBK uvm.",430.000 €,"Tempelhof, 12101 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,70 m²,6.143 €/m²,nil,nil,nach Vereinbarung / as by agreement,1,1,Außenstellplatz,"zzgl. 3,57% Käuferprovision (inkl. gesetzlicher MwSt.)","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Mit Aufzug: Vermietete 3-Zimmer-Wohnung in der City West +++ mit Balkon +++ TOP Verkehrsanbindung,365.000 €,"Wilmersdorfer Straße 107c,
Charlottenburg, 10629 Berlin",3,"66,3 m²",5.505 €/m²,Etagenwohnung,nil,nil,nil,nil,Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanlage am Stuttgarter Platz: 2 Zimmer mit Aufzug und Balkon +++ Tageslicht-Wannenbad +++,228.000 €,"Wilmersdorfer Straße 107a,
Charlottenburg, 10629 Berlin",2,"47,25 m²",4.825 €/m²,Etagenwohnung,nil,nil,nil,nil,Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Paket aus zwei Eigentumswohnungen - Eigennutzung möglich,560.000 €,"Pankow (Ortsteil), 13189 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100 m²,5.600 €/m²,nil,nil,nil,nil,nil,Garage,"7,14% des Kaufpreises (inkl. gesetzlicher MwSt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanlage mit 2 Zimmern und Terrasse in ruhiger & beliebter Lage in Britz,199.000 €,"Britz, 12347 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"62,8 m²",3.169 €/m²,Erdgeschosswohnung,nil,nil,1,nil,nil,"zzgl. 3,57% Käuferprovision (inkl. gesetzlicher MwSt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Laden/Büro/Praxis in zentraler Lage - vermietet mit guter Rendite,499.000 €,"Prenzlauer Berg, 10249 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"112,27 m²",4.445 €/m²,Erdgeschosswohnung,"112,27 m²",nil,nil,nil,nil,"7,14 % des Kaufpreises (inkl. gesetzlicher MwSt.)","{'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Vermietet: Gut gelegene 2-Zimmer Wohnung im Berlin Ringbahn Zentrum,229.000 €,"Putbusser Str. 53,
Gesundbrunnen, 13355 Berlin",2,54 m²,4.241 €/m²,Etagenwohnung,54 m²,nil,1,1,nil,"3,57%","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Entspanntes Wohnen im Grünen mit Balkon und Garten,285.000 €,"Frohnau, 13465 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,72 m²,3.958 €/m²,nil,nil,nil,1,1,1 Garage,"zzgl. 3,57% Käuferprovision (inkl. gesetzlicher MwSt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': ''}"
Mehrere Eigentumswohnungen in Berlin-Reinickendorf,500.000 €,"Reinickendorf (Ortsteil), 13409 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,90 m²,5.556 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"3,57% inkl. MwSt",{}
Solide vermietete 3-Zimmer Wohnung,259.000 €,"Lichterfelde, 12207 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"80,82 m²",3.205 €/m²,nil,5 m²,nil,nil,nil,nil,"3,57% inkl. 19 % MwSt. des beurkundeten Kaufpreises. Fällig nach Abschluss des Kaufvertrages.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
